Date,Pasar Aksara,Pasar Brayan,Pasar Petisah,Pasar Sukaramai,Pusat Pasar,is_holiday
2024-04-22,30000.0,30000.0,35000.0,33500.0,36500.0,0
2024-04-23,30000.0,30000.0,35000.0,33500.0,36500.0,0
2024-04-24,30000.0,30000.0,35000.0,33500.0,36500.0,0
2024-04-25,30000.0,30000.0,35000.0,33500.0,36500.0,0
2024-04-26,30000.0,30000.0,35000.0,33500.0,36500.0,0
2024-04-29,50000.0,50000.0,50000.0,58000.0,53500.0,0
2024-04-30,50000.0,50000.0,50000.0,51000.0,51000.0,0
2024-05-01,50000.0,50000.0,45000.0,51000.0,51000.0,0
2024-05-02,45000.0,50000.0,45000.0,46500.0,46500.0,0
2024-05-03,45000.0,50000.0,45000.0,46500.0,46500.0,0
2024-05-06,50000.0,50000.0,50000.0,51000.0,50000.0,0
2024-05-07,50000.0,50000.0,50000.0,51000.0,50000.0,0
2024-05-08,50000.0,50000.0,50000.0,51000.0,50000.0,0
2024-05-09,50000.0,50000.0,50000.0,51000.0,50000.0,0
2024-05-10,50000.0,50000.0,50000.0,51000.0,50000.0,0
2024-05-13,50000.0,50000.0,50000.0,51000.0,50000.0,0
2024-05-14,50000.0,50000.0,50000.0,51000.0,50000.0,0
2024-05-15,50000.0,50000.0,50000.0,51000.0,50000.0,0
2024-05-16,50000.0,50000.0,50000.0,51000.0,50000.0,0
2024-05-17,50000.0,50000.0,50000.0,51000.0,50000.0,0
2024-05-20,70000.0,72500.0,72500.0,80000.0,70000.0,0
2024-05-21,55000.0,55000.0,60000.0,49000.0,57500.0,0
2024-05-22,55000.0,55000.0,52500.0,49000.0,50000.0,0
2024-05-23,55000.0,55000.0,52500.0,49000.0,50000.0,0
2024-05-24,55000.0,55000.0,52500.0,49000.0,50000.0,0
2024-05-27,55000.0,55000.0,52500.0,49000.0,50000.0,0
2024-05-28,50000.0,47500.0,50000.0,49000.0,47500.0,0
2024-05-29,45000.0,47500.0,45000.0,46500.0,47500.0,0
2024-05-30,45000.0,47500.0,45000.0,46500.0,47500.0,0
2024-05-31,45000.0,47500.0,45000.0,46500.0,47500.0,0
2024-06-03,50000.0,52500.0,50000.0,51000.0,51000.0,0
2024-06-04,45000.0,52500.0,45000.0,46500.0,45000.0,0
2024-06-05,50000.0,52500.0,50000.0,46500.0,50000.0,0
2024-06-06,50000.0,52500.0,50000.0,46500.0,50000.0,0
2024-06-07,50000.0,51000.0,50000.0,46500.0,50000.0,0
2024-06-10,55000.0,60000.0,55000.0,55000.0,55000.0,1
2024-06-11,50000.0,55000.0,50000.0,49000.0,45000.0,1
2024-06-12,60000.0,62000.0,60000.0,58000.0,62500.0,1
2024-06-13,60000.0,62000.0,60000.0,58000.0,62500.0,1
2024-06-14,60000.0,60000.0,60000.0,58000.0,58000.0,1
2024-06-17,60000.0,60000.0,60000.0,58000.0,58000.0,1
2024-06-18,60000.0,60000.0,60000.0,58000.0,58000.0,0
2024-06-19,60000.0,60000.0,60000.0,58000.0,60000.0,0
2024-06-20,55000.0,60000.0,55000.0,52500.0,52500.0,0
2024-06-21,55000.0,55000.0,55000.0,52500.0,50000.0,0
2024-06-24,45000.0,40000.0,45000.0,42000.0,42500.0,0
2024-06-25,40000.0,38000.0,40000.0,38000.0,42500.0,0
2024-06-26,40000.0,38000.0,40000.0,38000.0,37500.0,0
2024-06-27,40000.0,32000.0,40000.0,30000.0,31000.0,0
2024-06-28,40000.0,32000.0,40000.0,30000.0,31000.0,0
2024-07-01,50000.0,50000.0,50000.0,55000.0,50000.0,0
2024-07-02,45000.0,42000.0,45000.0,40000.0,45000.0,0
2024-07-03,40000.0,42000.0,40000.0,37000.0,45000.0,0
2024-07-04,40000.0,40000.0,40000.0,37000.0,40000.0,0
2024-07-05,40000.0,40000.0,40000.0,37000.0,37500.0,0
2024-07-08,40000.0,44000.0,40000.0,41000.0,40000.0,0
2024-07-09,35000.0,35500.0,40000.0,41000.0,40000.0,0
2024-07-10,35000.0,35500.0,35000.0,37000.0,38000.0,0
2024-07-11,35000.0,35500.0,35000.0,37000.0,35500.0,0
2024-07-12,35000.0,35500.0,35000.0,33500.0,35500.0,0
2024-07-15,40000.0,46500.0,40000.0,45000.0,45000.0,0
2024-07-16,36000.0,40000.0,38000.0,39000.0,37500.0,0
2024-07-17,35000.0,36000.0,36000.0,35000.0,35500.0,0
2024-07-18,35000.0,36000.0,36000.0,35000.0,35500.0,0
2024-07-19,32000.0,32000.0,34000.0,29000.0,31000.0,0
2024-07-22,32000.0,32000.0,34000.0,29000.0,31000.0,0
2024-07-23,32000.0,32000.0,34000.0,29000.0,31000.0,0
2024-07-24,30000.0,27000.0,30000.0,27000.0,29000.0,0
2024-07-25,30000.0,27000.0,30000.0,27000.0,29000.0,0
2024-07-26,30000.0,27000.0,30000.0,27000.0,29000.0,0
2024-07-29,30000.0,30000.0,30000.0,29000.0,29000.0,0
2024-07-30,30000.0,30000.0,30000.0,29000.0,29000.0,0
2024-07-31,30000.0,30000.0,30000.0,29000.0,29000.0,0
2024-08-01,30000.0,30000.0,30000.0,29000.0,29000.0,0
2024-08-02,35000.0,33500.0,34000.0,31000.0,32500.0,0
2024-08-05,40000.0,40000.0,40000.0,38000.0,39000.0,0
2024-08-06,40000.0,40000.0,40000.0,38000.0,39000.0,0
2024-08-07,40000.0,40000.0,40000.0,38000.0,39000.0,0
2024-08-08,45000.0,46500.0,45000.0,50000.0,42500.0,0
2024-08-09,45000.0,49000.0,45000.0,50000.0,46500.0,0
2024-08-12,45000.0,49000.0,45000.0,50000.0,50000.0,0
2024-08-13,45000.0,45500.0,45000.0,45000.0,45000.0,0
2024-08-14,45000.0,45500.0,40000.0,42000.0,45000.0,0
2024-08-15,45000.0,45500.0,40000.0,42000.0,40000.0,0
2024-08-16,40000.0,40000.0,40000.0,37000.0,40000.0,0
2024-08-19,40000.0,45000.0,40000.0,41000.0,40000.0,0
2024-08-20,40000.0,41000.0,40000.0,37000.0,40000.0,0
2024-08-21,40000.0,33500.0,40000.0,33000.0,33000.0,0
2024-08-22,40000.0,33500.0,40000.0,33000.0,33000.0,0
2024-08-23,36000.0,33500.0,40000.0,33000.0,32500.0,0
2024-08-26,36000.0,31000.0,36000.0,31000.0,32500.0,0
2024-08-27,36000.0,31000.0,36000.0,31000.0,31000.0,0
2024-08-28,36000.0,31000.0,36000.0,31000.0,31000.0,0
2024-08-29,36000.0,31000.0,36000.0,31000.0,31000.0,0
2024-08-30,36000.0,31000.0,36000.0,31000.0,31000.0,0
2024-09-02,30000.0,28000.0,30000.0,29000.0,30000.0,0
2024-09-03,30000.0,28000.0,30000.0,29000.0,30000.0,0
2024-09-04,28000.0,26000.0,28000.0,25000.0,27000.0,0
2024-09-05,28000.0,26000.0,28000.0,25000.0,27000.0,0
2024-09-06,28000.0,26000.0,28000.0,25000.0,27000.0,0
2024-09-09,24000.0,24000.0,23000.0,21000.0,24000.0,0
2024-09-10,24000.0,24000.0,23000.0,21000.0,24000.0,0
2024-09-11,24000.0,24000.0,23000.0,21000.0,24000.0,0
2024-09-12,24000.0,24000.0,23000.0,21000.0,24000.0,0
2024-09-13,24000.0,24000.0,23000.0,21000.0,24000.0,0
2024-09-17,24000.0,24000.0,23000.0,21000.0,24000.0,0
2024-09-18,24000.0,24000.0,23000.0,21000.0,24000.0,0
2024-09-19,24000.0,27000.0,23000.0,21000.0,24000.0,0
2024-09-20,24000.0,27000.0,23000.0,21000.0,24000.0,0
2024-09-23,20000.0,20000.0,20000.0,19000.0,20000.0,0
2024-09-24,24000.0,24000.0,24000.0,23000.0,22000.0,0
2024-09-25,24000.0,24000.0,24000.0,23000.0,22000.0,0
2024-09-26,24000.0,24000.0,24000.0,23000.0,22000.0,0
2024-09-27,24000.0,24000.0,24000.0,23000.0,22000.0,0
2024-09-30,24000.0,24000.0,24000.0,23000.0,22000.0,0
2024-10-01,21000.0,24000.0,21000.0,23000.0,21000.0,0
2024-10-02,20000.0,20000.0,20000.0,19000.0,19000.0,0
2024-10-03,20000.0,20000.0,20000.0,19000.0,19000.0,0
2024-10-04,20000.0,20000.0,20000.0,19000.0,19000.0,0
2024-10-07,24000.0,28000.0,24000.0,25000.0,21000.0,0
2024-10-08,24000.0,28000.0,24000.0,25000.0,21000.0,0
2024-10-09,24000.0,28000.0,24000.0,25000.0,21000.0,0
2024-10-10,24000.0,28000.0,24000.0,25000.0,21000.0,0
2024-10-11,24000.0,28000.0,24000.0,25000.0,21000.0,0
2024-10-14,26000.0,35500.0,26000.0,34000.0,35000.0,0
2024-10-15,26000.0,31000.0,26000.0,27000.0,31000.0,0
2024-10-16,26000.0,31000.0,26000.0,30000.0,31000.0,0
2024-10-17,26000.0,31000.0,26000.0,30000.0,31000.0,0
2024-10-18,26000.0,31000.0,26000.0,30000.0,31000.0,0
2024-10-21,33000.0,35500.0,35000.0,33000.0,32000.0,0
2024-10-22,33000.0,35500.0,35000.0,33000.0,32000.0,0
2024-10-23,30000.0,31000.0,35000.0,31000.0,32000.0,0
2024-10-24,30000.0,31000.0,35000.0,31000.0,32000.0,0
2024-10-25,30000.0,31000.0,35000.0,31000.0,32000.0,0
2024-10-28,24000.0,26000.0,24000.0,22000.0,23000.0,0
2024-10-29,24000.0,24000.0,24000.0,22000.0,23000.0,0
2024-10-30,24000.0,24000.0,24000.0,22000.0,21000.0,0
2024-10-31,21000.0,24000.0,22000.0,22000.0,18000.0,0
2024-11-01,21000.0,24000.0,22000.0,22000.0,18000.0,0
2024-11-04,28000.0,28000.0,28000.0,25000.0,28500.0,0
2024-11-05,25000.0,28000.0,25000.0,25000.0,24500.0,0
2024-11-06,21000.0,24000.0,22000.0,21000.0,21000.0,0
2024-11-07,21000.0,24000.0,22000.0,21000.0,21000.0,0
2024-11-08,24500.0,26000.0,24000.0,23500.0,24500.0,0
2024-11-11,24000.0,24000.0,24000.0,21000.0,24500.0,0
2024-11-12,24000.0,24000.0,24000.0,21000.0,24500.0,0
2024-11-13,24000.0,24000.0,24000.0,21000.0,24500.0,0
2024-11-14,24000.0,24000.0,24000.0,21000.0,24500.0,0
2024-11-15,24000.0,24000.0,24000.0,21000.0,24500.0,0
2024-11-18,22000.0,24000.0,24000.0,21000.0,22500.0,0
2024-11-19,22000.0,24000.0,24000.0,21000.0,22500.0,0
2024-11-20,20000.0,22000.0,22000.0,21000.0,22500.0,0
2024-11-21,20000.0,22000.0,22000.0,21000.0,22500.0,0
2024-11-22,20000.0,22000.0,22000.0,21000.0,22500.0,0
2024-11-25,20000.0,20000.0,22000.0,18000.0,19000.0,0
2024-11-26,20000.0,20000.0,22000.0,18000.0,19000.0,0
2024-11-28,30000.0,30000.0,28000.0,30000.0,26000.0,0
2024-11-29,30000.0,30000.0,28000.0,30000.0,27500.0,0
2024-12-02,20000.0,20000.0,20000.0,19000.0,21000.0,0
2024-12-03,20000.0,20000.0,20000.0,19000.0,20000.0,0
2024-12-04,25000.0,24000.0,25000.0,25000.0,23000.0,0
2024-12-05,25000.0,24000.0,25000.0,25000.0,23000.0,0
2024-12-06,25000.0,24000.0,25000.0,25000.0,22000.0,0
2024-12-09,25000.0,28000.0,25500.0,25000.0,23000.0,0
2024-12-10,25000.0,24000.0,25500.0,24000.0,23000.0,0
2024-12-11,25000.0,24000.0,25500.0,24000.0,23000.0,0
2024-12-12,25000.0,24000.0,25500.0,24000.0,23000.0,0
2024-12-13,25000.0,24000.0,25500.0,24000.0,22000.0,0
2024-12-16,35000.0,34000.0,35000.0,29000.0,30000.0,1
2024-12-17,30000.0,28000.0,35000.0,29000.0,30000.0,1
2024-12-18,30000.0,28000.0,35000.0,29000.0,30000.0,1
2024-12-19,30000.0,28000.0,35000.0,29000.0,30000.0,1
2024-12-20,30000.0,28000.0,35000.0,29000.0,29000.0,1
2024-12-23,35000.0,38000.0,36000.0,34000.0,32500.0,1
2024-12-24,40000.0,46000.0,45000.0,52500.0,41500.0,1
2024-12-27,50000.0,52000.0,50000.0,52500.0,47500.0,1
2024-12-30,42000.0,48000.0,45000.0,46000.0,45000.0,1
2024-12-31,42000.0,48000.0,45000.0,46000.0,45000.0,1
2025-01-01,42000.0,48000.0,45000.0,46000.0,45000.0,1
2025-01-02,48000.0,50000.0,50000.0,55000.0,55000.0,0
2025-01-03,48000.0,50000.0,50000.0,55000.0,50000.0,0
2025-01-06,45000.0,46000.0,45000.0,46000.0,45000.0,0
2025-01-07,40000.0,40000.0,42000.0,39000.0,37500.0,0
2025-01-08,40000.0,40000.0,42000.0,39000.0,37500.0,0
2025-01-09,40000.0,40000.0,42000.0,39000.0,37500.0,0
2025-01-10,40000.0,40000.0,42000.0,39000.0,35500.0,0
2025-01-13,45000.0,49000.0,45000.0,42000.0,45000.0,0
2025-01-14,45000.0,49000.0,45000.0,42000.0,45000.0,0
2025-01-15,50000.0,52000.0,50000.0,49000.0,52500.0,0
2025-01-16,55000.0,64000.0,55000.0,60000.0,55000.0,0
2025-01-17,50000.0,64000.0,50000.0,60000.0,47500.0,0
2025-01-20,50000.0,58000.0,55000.0,60000.0,55000.0,0
2025-01-21,50000.0,58000.0,55000.0,60000.0,55000.0,0
2025-01-22,65000.0,77500.0,65000.0,70000.0,72500.0,0
2025-01-23,65000.0,77500.0,65000.0,70000.0,72500.0,0
2025-01-24,60000.0,60000.0,60000.0,57500.0,65000.0,0
2025-01-27,60000.0,60000.0,60000.0,57500.0,65000.0,1
2025-01-28,60000.0,60000.0,60000.0,57500.0,65000.0,1
2025-01-29,60000.0,60000.0,60000.0,57500.0,65000.0,1
2025-01-30,65000.0,70000.0,65000.0,62000.0,60000.0,1
2025-01-31,62500.0,70000.0,60000.0,62000.0,60000.0,1
2025-02-03,65000.0,70000.0,65000.0,66000.0,60000.0,1
2025-02-04,63000.0,64000.0,64500.0,62000.0,60000.0,0
2025-02-05,63000.0,64000.0,64500.0,62000.0,60000.0,0
2025-02-06,60000.0,60000.0,60000.0,58000.0,52500.0,0
2025-02-07,50000.0,54000.0,50000.0,46500.0,50000.0,0
2025-02-10,40000.0,45000.0,40000.0,40000.0,40000.0,0
2025-02-11,40000.0,45000.0,40000.0,40000.0,40000.0,0
2025-02-12,40000.0,42000.0,40000.0,38000.0,38000.0,0
2025-02-13,40000.0,42000.0,40000.0,38000.0,37000.0,0
2025-02-14,38000.0,38000.0,40000.0,35000.0,34000.0,0
2025-02-17,40000.0,46000.0,40000.0,38000.0,38000.0,0
2025-02-18,40000.0,42000.0,40000.0,38000.0,38000.0,0
2025-02-19,40000.0,42000.0,40000.0,38000.0,38000.0,0
2025-02-20,40000.0,40000.0,40000.0,38000.0,34000.0,0
2025-02-21,36000.0,36000.0,36000.0,34000.0,32000.0,0
2025-02-24,40000.0,40000.0,40000.0,42000.0,38000.0,1
2025-02-25,40000.0,40000.0,40000.0,42000.0,38000.0,1
2025-02-26,40000.0,40000.0,40000.0,42000.0,38000.0,1
2025-02-27,45000.0,48000.0,42500.0,46000.0,42500.0,1
2025-02-28,42500.0,46000.0,42500.0,42000.0,42500.0,1
2025-03-03,50000.0,51000.0,50000.0,50000.0,53000.0,1
2025-03-04,45000.0,42000.0,45000.0,45000.0,49000.0,0
2025-03-05,36000.0,38000.0,36000.0,31000.0,33500.0,0
2025-03-06,36000.0,36000.0,36000.0,31000.0,33500.0,0
2025-03-07,36000.0,36000.0,36000.0,31000.0,31000.0,0
2025-03-10,35000.0,32000.0,35000.0,30000.0,32000.0,0
2025-03-11,35000.0,32000.0,35000.0,30000.0,32000.0,0
2025-03-12,35000.0,32000.0,35000.0,30000.0,28000.0,0
2025-03-13,35000.0,32000.0,35000.0,30000.0,28000.0,0
2025-03-14,30000.0,32000.0,30000.0,30000.0,28000.0,0
2025-03-17,28000.0,28000.0,28000.0,27000.0,28000.0,0
2025-03-18,27000.0,28000.0,25000.0,27000.0,26000.0,0
2025-03-19,28000.0,36000.0,28000.0,34000.0,26000.0,0
2025-03-20,28000.0,36000.0,28000.0,34000.0,28000.0,0
2025-03-21,30000.0,36000.0,30000.0,34000.0,30000.0,0
2025-03-24,36000.0,44000.0,38000.0,41000.0,40000.0,1
2025-03-25,36000.0,44000.0,38000.0,41000.0,40000.0,1
2025-03-26,52500.0,66000.0,55000.0,58000.0,60000.0,1
2025-03-27,45000.0,50000.0,45000.0,49000.0,50000.0,1
2025-03-28,45000.0,50000.0,45000.0,49000.0,50000.0,1
2025-03-31,45000.0,50000.0,45000.0,49000.0,50000.0,1
2025-04-01,45000.0,50000.0,45000.0,49000.0,50000.0,0
2025-04-02,45000.0,50000.0,45000.0,49000.0,50000.0,0
2025-04-03,45000.0,50000.0,45000.0,49000.0,50000.0,0
2025-04-04,45000.0,50000.0,45000.0,49000.0,50000.0,0
2025-04-07,45000.0,50000.0,45000.0,49000.0,50000.0,0
2025-04-08,40000.0,48000.0,40000.0,46000.0,43500.0,0
2025-04-09,40000.0,48000.0,40000.0,46000.0,43500.0,0
2025-04-10,46000.0,52000.0,50000.0,50000.0,43500.0,0
2025-04-11,55000.0,60000.0,55000.0,54000.0,56500.0,0
2025-04-14,60000.0,68000.0,60000.0,62000.0,65000.0,0
2025-04-15,56000.0,60000.0,56000.0,58000.0,60000.0,0
2025-04-16,56000.0,60000.0,56000.0,58000.0,60000.0,0
2025-04-17,50000.0,55000.0,50000.0,52000.0,52500.0,0
2025-04-18,50000.0,55000.0,50000.0,52000.0,52500.0,0
2025-04-21,50000.0,52000.0,50000.0,48000.0,51000.0,0
2025-04-22,50000.0,48000.0,50000.0,48000.0,43500.0,0
2025-04-23,49000.0,48000.0,50000.0,46000.0,43500.0,0
2025-04-24,49000.0,48000.0,50000.0,46000.0,43500.0,0
2025-04-25,41000.0,44000.0,40000.0,42000.0,43500.0,0
2025-04-28,45000.0,48000.0,45000.0,46000.0,43500.0,0
2025-04-29,40000.0,44000.0,40000.0,42000.0,43500.0,0
2025-04-30,40000.0,44000.0,40000.0,42000.0,40000.0,0
2025-05-01,40000.0,44000.0,40000.0,42000.0,40000.0,0
2025-05-02,40000.0,40000.0,40000.0,38000.0,40000.0,0
2025-05-05,40000.0,40000.0,40000.0,40000.0,40000.0,0
2025-05-06,37000.0,36000.0,37000.0,34000.0,36000.0,0
2025-05-07,37000.0,36000.0,37000.0,34000.0,36000.0,0
2025-05-08,37000.0,36000.0,37000.0,34000.0,36000.0,0
2025-05-09,35500.0,34000.0,37000.0,34000.0,34000.0,0
2025-05-12,35500.0,34000.0,37000.0,34000.0,34000.0,0
2025-05-13,35500.0,34000.0,37000.0,34000.0,34000.0,0
2025-05-14,28000.0,26000.0,28000.0,26000.0,25000.0,0
2025-05-15,28000.0,26000.0,28000.0,26000.0,25000.0,0
2025-05-16,28000.0,24000.0,28000.0,26000.0,25000.0,0
2025-05-19,30000.0,32000.0,30000.0,28000.0,29000.0,0
2025-05-20,29000.0,32000.0,29000.0,28000.0,25000.0,0
2025-05-21,29000.0,24000.0,29000.0,24000.0,23500.0,0
2025-05-22,29000.0,24000.0,29000.0,24000.0,23500.0,0
2025-05-23,24000.0,22000.0,24000.0,22000.0,23500.0,0
