Rank,Algorithm,Avg RMSE,Avg MAPE (%)
1,LSTM,11933.27199616604,13.755331693375354
2,LSTM+Holiday,14497.900549116157,18.017778508748133
3,ARIMA,35197.02434325071,41.211713543482134
4,ARIMAX (with holidays),35402.884933209556,41.65242644115017
5,Prophet+Holiday,49684.19729583836,69.93978325579215
6,Prophet,51090.31285904225,73.90042951775612
