Market,ARIMA_RMSE,ARIMA_MAE,ARIMA_MAPE,ARIMAX_RMSE,ARIMAX_MAE,ARIMAX_MAPE,LSTM_RMSE,LSTM_MAE,LSTM_MAPE,LSTM_H_RMSE,LSTM_H_MAE,LSTM_H_MAPE,Prophet_RMSE,Prophet_MAE,Prophet_MAPE,Prophet_H_RMSE,Prophet_H_MAE,Prophet_H_MAPE
Pasar Sukaramai,26587.169330379384,19697.61347803784,34.502816545487555,32670.014369978784,23844.257450222824,37.29571978682703,7758.863396833742,5165.1321042239015,9.226214336387685,8273.490008054438,5631.737122252747,9.969850168291039,51973.15112516002,41617.71278613152,74.4370016480109,50623.40153070974,40157.58363939056,70.82534499213065
Pasar Aksara,36339.14063098403,27461.714908326634,45.56061689958109,36141.42814655654,27231.50174033323,45.02154992083092,6809.708732214641,4851.2273351648355,9.998615293201674,7581.3300523042435,5428.357035542583,10.797641708323734,48698.061038551015,39279.242199512795,73.09207454299467,47650.096624556056,38096.44800202839,69.9742636161593
Pasar Petisah,26369.046827014292,19733.532129055082,35.04035794640641,34327.85410557651,24923.553950995625,39.589746517005345,7703.075576194957,5576.624527815934,10.970212625634455,8201.059788599552,5912.583619505494,11.407165264914397,49026.18263586212,39205.30309126093,71.93718330033298,48035.98896879662,38028.89808872521,68.71268806418759
Pusat Pasar,35806.27532287929,26423.67216142089,42.35447999461071,35694.96931281366,26301.752783858654,42.08697154924499,7835.752874611807,5676.260774381868,11.142713384909966,8539.726913529996,6214.256739354396,11.625320028338496,51243.94659802505,40871.7421725599,74.28267726545552,50990.59755843732,40389.18688940899,72.47676050556731
Pasar Brayan,35983.19170708312,26856.878961561582,41.588900882986266,36003.27370958604,26884.048752803425,41.6614519738777,8284.141273379848,5747.135602678572,9.75941708942211,8901.027385705509,6340.655498798077,10.637918456382236,54510.22289761305,43852.75320688718,75.75321083198654,54379.188416421384,43472.706915654395,74.34242420710997
